Image Path,LaTeX Label
.\cropped\im_ (487).jpg,2<=\frac{x}{[x]}<3
.\cropped\im_ (4870).jpg,i^3=-i
.\cropped\im_ (4871).jpg,i^4=i^2i^2=1
.\cropped\im_ (4872).jpg,i^{4p}=1
.\cropped\im_ (4873).jpg,i^{4p+1}=i
.\cropped\im_ (4874).jpg,i^{4p+2}=-1
.\cropped\im_ (4875).jpg,i^{4p+3}=-i
.\cropped\im_ (4876).jpg,w=e^{-\pi}
.\cropped\im_ (4877).jpg,e^{\ln{w}}=e^{-\pi}
.\cropped\im_ (4878).jpg,\ln{w}=-\pi
.\cropped\im_ (4879).jpg,\ln{w}=i[i\pi]
.\cropped\im_ (488).jpg,y=\frac{x}{2}
.\cropped\im_ (4880).jpg,\ln{w}=i\ln{(-1)}
.\cropped\im_ (4881).jpg,\ln{(1)}+i\pi=i\pi.
.\cropped\im_ (4882).jpg,\ln{w}=\ln{(-1)^{i}}
.\cropped\im_ (4883).jpg,w=(-1)^i
.\cropped\im_ (4884).jpg,w=i^{(i)^i}
.\cropped\im_ (4885).jpg,\ln{w}=i^i\ln{i}
.\cropped\im_ (4886).jpg,\ln{w}=e^{-\frac{\pi}{2}}i\frac{\pi}{2}
.\cropped\im_ (4887).jpg,w=i^i^i
.\cropped\im_ (4888).jpg,w=e^{i\frac{\pi}{2}e^{-\frac{\pi}{2}}}
.\cropped\im_ (4889).jpg,\cos{\theta}=\frac{e^{i\theta}+e^{-i\theta}}{2}
.\cropped\im_ (489).jpg,y=2x+1
.\cropped\im_ (4890).jpg,\sin{\theta}=\frac{e^{i\theta}-e^{-i\theta}}{2i}
.\cropped\im_ (4891).jpg,e^{i\theta}=\cos{\theta}+i\sin{\theta}
.\cropped\im_ (4892).jpg,e^{-i\theta}=\cos{\theta}-i\sin{\theta}
.\cropped\im_ (4893).jpg,\frac{e^{x}+e^{-x}}{2}
.\cropped\im_ (4894).jpg,\cosh{x}=chx
.\cropped\im_ (4895).jpg,\sinh{x}=shx
.\cropped\im_ (4896).jpg,\frac{e^{x}-e^{-x}}{2}
.\cropped\im_ (4897).jpg,\cos{(ix)}=\frac{e^{i(ix)}+e^{-i(ix)}}{2}
.\cropped\im_ (4898).jpg,\frac{e^{-x}+e^{x}}{2}=chx
.\cropped\im_ (4899).jpg,\frac{e^{-x}+e^{x}}{2i}=\frac{-1}{i}shx=ishx
.\cropped\im_ (49).jpg,OA=\sqrt{x_A^2+y_A^2}
.\cropped\im_ (490).jpg,y_1=2x_1+1
.\cropped\im_ (4900).jpg,\sin{(ix)}=\frac{e^{i(ix)}-e^{-i(ix)}}{2i}
.\cropped\im_ (4901).jpg,\left\{\begin{matrix}\cos{(ix)}=chx\\sh(ix)=\cos{x}\\\sin{ix}=ishx\\sh(ix)=i\sin{x}\\\tan{(ix)}=i\tan{x}\\th(ix)=i\tan{x}\\\end{matrix}\right.
.\cropped\im_ (4902).jpg,\sin{x}^2+\cos{x}^2=1
.\cropped\im_ (4903).jpg,\cos{(ix)}^2+\sin{(ix)}^2=1
.\cropped\im_ (4904).jpg,\cosh{x}^2-\sinh{x}^2=1
.\cropped\im_ (4905).jpg,1+\tan{x}^2=\frac{1}{\cos{x}^2}
